Month,Wood Energy Consumption In Industrial Sector,Wood Energy Consumption In Residential Sector,Wood Energy Consumption In Commercial Sector,Wood Energy Consumption In Electric Power Sector,Solar Energy Consumption In Industrial Sector,Solar Energy Consumption In Residential Sector,Solar Energy Consumption In Commercial Sector,Solar Energy Consumption In Electric Power Sector,BioMass Energy Consumption In Industrial Sector,BioMass Energy Consumption In Residential Sector,BioMass Energy Consumption In Commercial Sector,BioMass Energy Consumption In Electric Power Sector,Other Bio Fuels Energy Consumption In Industrial Sector,Other Bio Fuels Energy Consumption In Residential Sector,Other Bio Fuels Energy Consumption In Commercial Sector,Other Bio Fuels Energy Consumption In Electric Power Sector,Wood Energy Production,Solar Energy Production,BioMass Energy Production,Other Bio Fuel Energy Production,Wood Energy Production Cost,Solar Energy Production Cost,BioMass Energy Production Cost,Other Bio Fuel Energy Production Cost,Wood Cost,Biomass Cost,Other Bio Fuel Cosst,,,
Mar-12,119632,37106,5122,15607,625,6344,2867,2106,197718,0,9033,37415,588,64,4100,2422,196989,8957,224633,7173,12,20,10,11,10,11,14,,,
Apr-12,114624,35909,4973,12707,691,6992,3186,2901,188655,0,8854,33216,1016,140,5257,3714,178306,15974,233033,8607,11,21,10,11,9,11,11,,,
May-12,121007,37106,5118,14018,761,7718,3539,4236,197527,0,9161,35824,1066,386,5946,3982,191429,12679,232812,11038,12,21,10,11,15,13,13,,,
Jun-12,119114,35909,4985,16377,770,7788,3584,4834,192347,0,8834,37918,616,312,6989,5705,165802,17316,191280,14711,12,22,11,11,11,13,10,,,
Jul-12,123790,37106,5158,17736,811,8176,3740,4678,195031,0,9190,40404,876,328,6583,4819,187466,21757,313120,16007,13,22,10,11,15,8,11,,,
Aug-12,125004,37106,5156,17931,801,8091,3689,4234,198249,0,9328,40471,1058,405,3985,3896,150010,13789,250529,9435,12,22,11,12,15,10,9,,,
Sep-12,121837,35909,4966,16490,731,7379,3404,4177,190465,0,8932,37730,943,74,6230,3384,175618,13181,267954,13075,13,22,11,12,16,14,11,,,
Oct-12,122908,37106,5120,15106,665,6725,3094,3949,195090,0,9241,37591,878,202,5910,4502,160414,12269,266115,13445,13,23,11,12,11,15,12,,,
Nov-12,122805,35909,4986,15019,545,5517,2525,3189,194325,0,8899,37561,567,166,5126,3158,137614,10481,211891,10548,13,22,11,12,14,13,17,,,
Dec-12,127779,37106,5148,16338,515,5237,2386,3223,201494,0,9264,40055,546,158,3723,2772,229237,11134,258338,6694,14,22,12,12,16,14,17,,,
Jan-13,128026,48551,5956,17125,472,4953,2188,2861,200810,0,9974,39084,430,50,4245,2976,255563,10056,252367,9317,14,23,11,13,16,13,10,,,
Feb-13,114991,43853,5385,15300,510,5339,2406,3977,181051,0,8984,34711,500,161,5582,4693,152600,12355,182045,13778,14,23,12,13,12,15,11,,,
Mar-13,124424,48551,5965,16977,704,7356,3328,5689,199254,0,10177,39496,1028,148,4027,5291,199836,18614,236481,9339,14,23,12,13,16,9,10,,,
Apr-13,119039,46985,5686,13650,778,8108,3679,6105,194188,0,9760,34558,708,325,5225,5800,233554,20911,209886,10731,15,23,12,14,16,16,15,,,
May-13,123316,48551,5916,15337,856,8950,4057,6905,201422,0,10227,37448,1088,179,8885,8010,195052,26584,311372,22520,15,24,12,13,16,9,13,,,
Jun-13,123461,46985,5764,16785,865,9031,4113,8007,199863,0,10057,38556,987,271,5059,9128,212295,16953,223629,18533,15,24,12,14,17,18,19,,,
Jul-13,131824,48551,5958,18448,906,9481,4286,7627,209470,0,10312,40885,1196,475,8615,6407,202734,25199,260667,13521,15,25,13,14,18,19,12,,,
Aug-13,127947,48551,5964,19909,897,9382,4255,8716,204328,0,10324,42418,1167,470,5830,8455,165945,23715,298202,20059,16,24,13,15,20,14,17,,,
Sep-13,119757,46985,5723,18036,820,8557,3917,8748,193617,0,9892,39284,1165,343,9636,8748,224792,17193,308348,15316,16,24,13,15,20,17,22,,,
Oct-13,123096,48551,5991,17522,747,7799,3608,9107,204291,0,10113,39120,777,390,7361,9927,185402,16371,304229,20300,16,24,13,15,14,10,22,,,
Nov-13,123745,46985,5817,18528,613,6397,2947,7620,204671,0,9802,40559,473,320,3036,5792,200928,19863,226979,7503,16,25,14,15,19,16,22,,,
Dec-13,129384,48551,6040,19810,581,6073,2796,7879,214401,0,10284,43491,831,61,4250,7170,228240,14037,316448,15636,17,25,14,16,17,11,16,,,
Jan-14,127407,49136,6539,21381,593,5963,3005,6981,208328,0,11296,45343,617,120,6702,10402,231044,19851,233171,16412,17,25,14,16,19,11,24,,,
Feb-14,115528,44381,5885,19968,629,6319,3250,7740,188557,0,9615,42134,894,64,5460,7121,154183,14172,273949,11913,17,26,14,15,19,17,17,,,
Mar-14,125976,49136,6507,22136,895,8672,4386,12234,206975,0,10599,46218,806,261,9036,15171,199680,29068,266430,19459,18,26,14,16,21,11,19,,,
Apr-14,121088,47551,6172,18100,977,9487,4748,13817,201552,0,10225,41241,772,475,9449,19206,246927,35416,202415,32293,18,26,15,16,14,22,22,,,
May-14,123273,49136,6483,17285,1075,10515,5233,16263,204793,0,10760,41077,1000,106,12717,20655,241298,30770,205304,28960,18,19,14,16,19,15,18,,,
Jun-14,124514,47551,6406,21855,1088,10657,5217,17905,205116,0,10646,45365,1056,320,8348,15578,208340,36611,229792,26059,18,20,15,17,22,14,21,,,
Jul-14,128275,49136,6510,22764,1132,11154,5388,16626,211698,0,11031,47587,1619,447,10723,21614,237688,28126,340599,27865,19,20,15,17,18,21,15,,,
Aug-14,129735,49136,6493,22576,1121,11107,5317,17486,210433,0,10964,46440,875,556,5371,24131,224576,33630,243732,30312,19,20,15,17,17,22,18,,,
Sep-14,121223,47551,6231,20837,1022,10296,4791,17075,199290,0,10462,43226,1094,412,6229,15539,240886,31193,215032,28160,20,20,15,18,16,21,19,,,
Oct-14,124645,49136,6426,20279,966,9592,4326,15976,206982,0,10546,42403,735,480,8609,14698,244593,25614,288524,21578,19,21,16,17,20,19,23,,,
Nov-14,123289,47551,6199,21604,778,7941,3480,12847,204666,0,10150,43627,1090,239,5534,14903,184738,20789,237768,24375,20,21,16,18,19,22,21,,,
Dec-14,130046,49136,6438,22468,716,7704,3318,9612,217277,0,10589,45481,738,309,7731,7594,183118,16226,295215,17844,20,20,16,18,15,17,20,,,
Jan-15,129738,43547,6817,22132,750,6492,3238,10569,214390,0,12694,44782,728,325,3724,14374,192123,19366,353426,17618,20,21,17,19,18,16,23,,,
Feb-15,116126,39333,6181,20921,802,7126,3534,13600,192022,0,11480,41407,1067,357,7104,17680,158829,31328,222868,24896,21,22,16,18,25,14,18,,,
Mar-15,121746,43547,6737,20609,1130,10041,4769,18986,205826,0,12746,43011,1492,302,5771,21645,200345,33529,316516,26287,21,22,17,19,17,18,16,,,
Apr-15,121028,42143,6518,17821,1226,11309,5254,21786,200991,0,12414,39644,945,566,5465,21351,193136,46303,273293,21810,22,23,17,20,24,20,23,,,
May-15,124605,43547,6576,18431,1363,12511,5773,22888,208068,0,12809,41400,1732,626,9237,23117,148733,35305,209822,38529,21,23,17,20,24,21,24,,,
Jun-15,121134,42143,6469,20611,1360,12733,5726,23410,204217,0,12577,43736,1782,510,6185,21069,144672,55766,224056,26295,22,23,17,20,20,20,27,,,
Jul-15,126362,43547,6822,22354,1418,13526,5977,24038,211552,0,13327,47961,1135,406,9982,20673,215012,56199,264655,37668,23,23,17,20,20,17,30,,,
Aug-15,126709,43547,6701,22964,1393,13489,5789,24596,210317,0,13034,47739,1310,270,11578,32713,249902,34403,233138,40825,23,24,18,20,25,19,18,,,
Sep-15,121041,42143,6539,19935,1275,12256,5152,20294,201339,0,12745,43055,1110,123,12417,28209,204831,30792,272568,50647,23,24,19,20,24,24,19,,,
Oct-15,120135,43547,6690,17459,1179,11094,4544,17477,205536,0,12645,41340,1085,333,9588,17827,242302,39096,205022,21913,24,25,18,20,19,25,30,,,
Nov-15,121498,42143,6485,19195,946,9173,3670,15857,205950,0,12525,43933,814,184,7818,18553,160923,31425,288649,24904,24,24,18,21,22,24,25,,,
Dec-15,125765,43547,6753,21426,880,8465,3474,14400,214119,0,12910,46871,696,339,4656,16560,187617,23409,306768,17132,24,24,19,22,24,21,22,,,
Jan-16,126751,37662,7170,20690,1058,8116,3441,13462,211112,0,13140,43874,1323,406,8052,17501,209578,32336,284214,33010,24,24,19,22,18,21,23,,,
Feb-16,118510,35232,6695,20495,1167,9616,4038,20315,198757,0,12342,42831,1296,481,7107,20722,135699,42164,309795,22204,25,25,20,22,23,17,30,,,
Mar-16,121447,37662,6981,19470,1599,12868,5207,23733,207986,0,13256,43070,1536,129,6301,32040,196694,46012,343606,32404,24,25,19,22,27,16,29,,,
Apr-16,115260,36447,6839,15235,1742,14545,5649,26137,194626,0,12781,39058,2213,291,12541,32672,192897,53362,276041,49147,25,25,19,23,29,26,19,,,
May-16,120854,37662,6964,15721,1923,16125,6123,31158,205215,0,13209,39637,1577,484,7042,37079,201134,45370,211611,49413,26,26,20,22,30,27,29,,,
Jun-16,121133,36447,6929,18136,1929,16672,6237,31552,203723,0,13116,41271,1852,167,14720,24296,186298,43421,299408,31596,26,26,20,23,21,22,28,,,
Jul-16,124085,37662,7105,20066,2000,17356,6421,35880,209805,0,13563,43601,1980,174,8027,40904,200254,72756,333712,38824,25,26,20,23,31,24,30,,,
Aug-16,124402,37662,7184,21396,1959,16847,6254,36082,211066,0,13629,45459,2743,674,14885,29588,184925,48303,302573,41184,27,30,20,23,27,23,28,,,
Sep-16,116908,36447,6901,19065,1775,15007,5584,33089,198673,0,12992,41409,1793,751,12788,34082,224152,61556,210052,40518,27,30,21,25,22,16,24,,,
Oct-16,119521,37662,7046,15671,1629,13419,4947,29049,205517,0,13115,37418,2379,135,6877,32245,163709,47573,240687,39552,28,33,20,24,34,22,27,,,
Nov-16,121972,36447,6815,17837,1297,10955,3955,25198,207381,0,13027,41914,1440,439,5933,34522,201379,40577,204612,37676,28,33,21,25,30,18,25,,,
Dec-16,142932,37662,7113,20625,1191,9976,3879,22055,233200,0,13499,45530,1525,300,9194,26025,181249,28568,309763,38154,27,32,21,24,31,31,31,,,
Jan-17,123095,36486,7269,20438,1145,9850,4095,21174,213033,0,13532,45376,1111,197,4218,27103,211636,46418,312733,34913,28,33,22,25,33,22,36,,,
Feb-17,112149,32955,6521,18489,1279,11022,4516,25032,192490,0,12147,40597,1331,111,10749,20527,187126,43942,203545,29117,28,35,21,26,26,29,30,,,
Mar-17,121768,36486,7013,20939,1840,15906,6225,41131,210568,0,13101,45244,1509,637,11143,32494,167586,56639,295805,37999,28,35,22,26,31,19,35,,,
Apr-17,115380,35309,6801,16792,1999,17766,6894,44714,197389,0,12737,39042,1820,178,17235,34877,148140,72087,279069,58438,29,36,23,26,25,33,35,,,
May-17,118025,36486,7032,16758,2235,19598,7606,52746,204505,0,13257,40328,2437,196,8900,67515,217528,67392,281319,75094,28,40,23,26,35,19,23,,,
Jun-17,120825,35309,6832,18422,2265,20266,7696,55759,203622,0,12963,42074,2447,1014,11775,77506,137855,92006,193995,98304,30,40,23,26,28,28,24,,,
Jul-17,124618,36486,7083,20092,2369,20690,7948,50756,209440,0,13325,43856,2535,414,8107,41113,227818,88305,341275,41213,30,41,23,27,23,24,29,,,
Aug-17,125509,36486,7094,21052,2311,20036,7746,48927,213439,0,13437,44735,2889,1002,8056,44035,148310,82971,293340,69417,30,41,24,27,29,29,40,,,
Sep-17,114561,35309,6721,18055,2091,17942,6983,46126,197284,0,12488,39993,1757,718,12849,53507,216562,90697,209803,78466,29,42,23,26,27,25,20,,,
Oct-17,119457,36486,7123,18039,1881,16046,6197,42435,207303,0,12964,40542,2371,321,10845,35646,150318,79206,258201,55575,31,42,23,28,36,20,30,,,
Nov-17,120523,35309,6986,19036,1457,12554,4918,29243,209641,0,13013,42226,1108,252,12246,42110,152758,60697,243690,46800,30,44,24,27,28,19,24,,,
Dec-17,126414,36486,7254,21212,1295,11738,4777,27698,216728,0,13422,45528,1723,353,10080,22436,158834,36862,358382,39086,32,44,24,28,37,35,25,,,
Jan-18,123530,44579,7205,21462,1355,11950,5290,29933,212713,0,13325,45826,1125,239,10051,32029,163325,50470,225648,36927,32,44,25,28,40,20,31,,,
Feb-18,110725,40265,6557,18849,1437,13058,5787,35166,191813,0,12081,41774,1481,523,7466,40793,220495,65429,194078,37696,31,45,25,29,30,19,22,,,
Mar-18,121435,44579,7217,19658,2047,18050,7855,45603,210210,0,13319,43993,2989,903,10212,43779,154312,77969,219369,59618,32,46,25,28,25,21,32,,,
Apr-18,114696,43141,6828,15966,2231,20534,8711,54646,198760,0,12709,38598,2455,822,14635,53554,166181,104208,275074,80039,33,47,25,30,35,27,28,,,
May-18,120343,44579,7039,17231,2471,22594,9545,61795,208098,0,13369,40166,3361,678,16800,50672,162706,86765,337507,61499,32,47,25,30,30,27,34,,,
Jun-18,117505,43141,6927,18980,2487,23021,9697,66892,202583,0,13009,41860,2512,461,16873,92311,156705,132727,288347,96455,33,48,25,29,39,23,41,,,
Jul-18,123662,44579,7129,20821,2566,23630,9964,60918,212683,0,13342,43581,2566,473,24910,73102,176572,118436,242646,130355,33,48,25,29,37,22,30,,,
Aug-18,122931,44579,7174,19835,2488,22640,9551,60392,212902,0,13532,42772,2986,680,15760,53145,202300,107431,204597,84906,33,49,26,30,26,31,41,,,
Sep-18,114811,43141,6861,16949,2248,19907,8542,53813,197147,0,12448,37466,2810,996,13241,59733,176310,103103,306356,89831,33,49,27,31,41,35,37,,,
Oct-18,118450,44579,7044,16629,2039,17885,7518,44849,206908,0,13100,39208,2508,537,17668,65480,181101,82412,241071,99121,34,50,26,30,29,25,43,,,
Nov-18,117738,43141,6835,17001,1608,14287,5939,33785,204006,0,12818,39759,1399,143,12354,43583,234589,47277,243754,58628,34,51,27,31,35,31,26,,,
Dec-18,126173,44579,7257,17681,1452,13279,5586,28063,213549,0,13421,41083,2019,399,9162,41253,150682,53702,230526,54416,34,51,27,32,34,23,41,,,
Jan-19,123495,46333,7284,19476,1530,13401,5869,31578,209137,0,13002,41188,1668,537,12560,29052,218213,59188,281760,32862,35,52,26,31,29,36,39,,,
Feb-19,111666,41849,6576,16079,1625,14568,6319,33818,189438,0,11838,35547,1528,438,7899,44640,204358,49571,198932,51778,36,52,28,31,27,33,27,,,
Mar-19,119877,46333,7196,16137,2326,20813,8755,52017,203741,0,12781,37354,1908,417,12958,45775,210393,72164,236105,52509,36,53,27,31,40,37,34,,,
Apr-19,112582,44838,6840,13692,2544,23280,9674,59576,195684,0,11941,33610,2137,699,12770,79237,193968,77961,241235,73028,36,53,28,32,35,31,45,,,
May-19,116044,46333,7062,16091,2824,25580,10405,63185,202533,0,12290,36629,3276,1024,12903,68872,200373,94855,191104,84352,37,52,28,33,35,26,48,,,
Jun-19,114482,44838,6845,16260,2851,26090,10521,70333,199477,0,12366,36694,3080,522,16308,71037,211613,131754,193859,102768,37,52,29,32,44,23,38,,,
Jul-19,120256,46333,7193,18751,2945,27207,11050,71713,206584,0,12623,39766,3711,1361,12597,83905,229115,109528,292640,109699,37,52,28,34,41,34,33,,,
Aug-19,120736,46333,7149,19268,2851,26185,10512,69483,205759,0,12719,40478,3023,786,11353,68094,234119,105761,256367,99905,36,51,29,33,33,31,45,,,
Sep-19,113421,44838,6918,16857,2577,23158,9346,60142,191643,0,12199,36515,2268,1158,12898,67961,163831,84749,194690,97769,38,51,29,33,34,34,48,,,
Oct-19,116850,46333,7152,14635,2329,20395,8255,53788,200782,0,12590,35202,2912,612,18327,51637,194219,105112,211288,72016,38,51,29,34,29,38,45,,,
Nov-19,116536,44838,6949,15714,1812,16140,6401,38496,201216,0,12268,36079,1414,162,7426,33877,204282,71648,249563,54882,37,50,29,34,39,23,37,,,
Dec-19,121039,46333,7135,17565,1627,14591,6088,30485,210497,0,12657,39075,2229,584,7428,27132,209359,60182,272719,43725,38,50,30,34,31,45,27,,,
Jan-20,120012,37334,7202,17381,1721,15796,6730,38802,210115,0,12989,39290,1549,632,15816,44623,143724,54223,251899,68881,39,50,29,34,42,29,42,,,
Feb-20,112983,34925,6734,16405,1909,17972,7637,48413,195551,0,12050,36528,2100,180,10234,70683,129996,62264,307603,77373,39,49,30,35,36,40,35,,,
Mar-20,117670,37334,7055,15711,2625,23371,9896,55245,198227,0,12395,37464,3413,935,13360,60770,197325,102074,218316,80046,41,49,30,35,34,33,43,,,
Apr-20,111488,36129,6700,12738,2845,26279,10911,68941,163603,0,11204,32788,4040,1314,21168,94450,135315,127502,228355,150004,39,49,30,36,43,26,41,,,
May-20,113926,37334,7021,13940,3166,29617,12061,84006,175803,0,12269,34455,2628,297,14594,123489,215277,127562,206951,125496,39,49,30,37,37,31,38,,,
Jun-20,108187,36129,6903,14003,3217,29620,12029,84007,179644,0,12292,32952,4118,1185,27306,125171,143744,149493,200151,173557,40,49,31,36,44,24,49,,,
Jul-20,110180,37334,7009,16332,3358,30453,12497,92359,188046,0,12606,36340,4467,1219,15872,130227,167438,176108,258322,189728,42,48,31,36,40,46,49,,,
Aug-20,111216,37334,7004,17728,3236,28896,11927,81114,188585,0,12571,38140,2783,1156,26717,118427,145557,110153,181865,147591,41,48,32,36,38,33,43,,,
Sep-20,107635,36129,6665,14776,2896,25528,10609,67314,182786,0,12023,33992,3997,511,19309,96260,181726,125490,178465,148893,40,45,32,36,36,38,44,,,
Oct-20,112411,37334,6919,14150,2621,22829,9251,61712,193346,0,12212,33568,2543,1142,11194,72821,182771,75203,270213,85067,41,45,31,37,39,26,51,,,
Nov-20,112063,36129,6737,15476,2037,18766,7369,50222,193415,0,12015,34629,1875,188,11496,74831,197670,80746,283270,68059,43,44,33,37,38,44,43,,,
Dec-20,117786,37334,7002,16733,1827,17185,7038,44375,200241,0,12359,37427,1901,344,12317,45263,150239,68313,205023,73583,42,44,33,38,32,47,36,,,
Jan-21,117478,39389,6982,17435,1949,18276,7847,49859,197243,0,12259,37874,1462,914,12085,67809,224793,67021,257272,75687,41,43,32,37,47,28,54,,,
Feb-21,102824,35578,6451,16456,2073,19398,8466,55885,167585,0,11005,35000,2923,194,19388,70974,133887,92688,222134,104696,42,42,34,38,32,37,49,,,
Mar-21,112222,39389,6970,17510,2982,27223,11695,80743,192943,0,12472,38245,2744,273,22806,96085,132069,159436,297266,97525,44,42,32,38,37,42,54,,,
Apr-21,109821,38119,6682,12592,3240,30850,12991,94322,187384,0,11791,31862,4342,1234,26892,138654,190624,182410,277245,201922,43,41,34,39,48,29,43,,,
May-21,117405,39389,6857,15714,3573,34039,14081,107091,202216,0,12182,35830,2966,681,18728,142432,159635,206420,202685,187878,44,41,33,40,44,33,44,,,
Jun-21,111370,38119,6844,17376,3575,34556,14173,103202,192841,0,12096,36799,4290,1383,22110,98042,194555,157062,251406,127083,45,40,33,39,34,41,53,,,
Jul-21,118649,39389,7106,18266,3669,35005,14649,103810,202309,0,12790,38340,4513,1401,31349,137030,234765,160276,266111,172549,46,40,33,40,38,41,30,,,
Aug-21,112890,39389,7112,19407,3565,32989,14078,102938,191538,0,12670,39182,5027,660,32802,139996,212770,130535,275031,212396,46,39,33,40,38,46,49,,,
Sep-21,111574,38119,6877,16361,3255,29221,12582,96762,187516,0,12159,35960,3418,877,22145,120953,140075,119129,237992,135600,44,39,35,39,33,36,41,,,
Oct-21,110783,39389,6980,16581,2924,25643,10933,80509,197737,0,12385,35112,2778,1283,15416,119959,161572,147612,255044,167321,46,38,34,40,56,31,60,,,
Nov-21,106855,38119,6754,13869,2286,22486,8726,68542,193939,0,12175,32507,2172,450,10123,97330,180501,121428,226690,105671,46,38,34,41,46,40,33,,,
Dec-21,110137,39389,7088,17424,2024,19045,8173,55330,199449,0,12778,37963,1579,572,9645,66950,165337,73578,255194,63783,45,37,36,41,52,29,49,,,
Jan-22,110069,41084,7071,16640,2143,21937,9002,69742,197038,0,12602,35882,2615,220,15844,66255,197597,83288,282351,110412,45,35,36,42,46,37,62,,,
Feb-22,100415,37109,6416,18337,2288,24107,10015,80200,177237,0,11471,35959,3021,1206,11618,72180,167146,113112,202201,110029,48,33,36,40,51,31,56,,,
Mar-22,104818,41084,6985,16775,3254,33270,13707,103611,190916,0,12767,35897,4458,666,23439,102575,186629,147689,275517,110156,48,33,36,41,37,50,60,,,
Apr-22,103953,39759,6716,13051,3532,36855,14955,117477,183363,0,12013,30279,4415,1843,20937,115128,158575,184917,194064,176480,48,32,37,42,41,39,39,,,
